count,pitch,swing,result
0-0,change,no,no_hit
0-0,splitter,no,no_hit
0-0,splitter,no,no_hit
0-0,four-seam,no,no_hit
0-0,curve,no,no_hit
0-0,change,no,no_hit
0-0,curve,no,no_hit
0-0,fastball,no,no_hit
0-0,fastball,yes,no_hit
0-0,fastball,no,no_hit
0-0,curve,no,no_hit
0-0,change,no,no_hit
0-0,fastball,yes,no_hit
0-0,fastball,no,no_hit
0-0,four-seam,yes,no_hit
0-0,curve,yes,no_hit
0-0,four-seam,no,no_hit
0-0,change,no,no_hit
0-0,change,no,no_hit
0-0,curve,no,no_hit
0-0,curve,yes,no_hit
0-0,fastball,yes,no_hit
0-0,splitter,no,no_hit
0-0,change,no,no_hit
0-0,curve,no,no_hit
0-0,fastball,yes,no_hit
0-0,fastball,yes,no_hit
0-0,fastball,yes,hit
0-0,change,no,no_hit
0-0,change,yes,no_hit
0-0,fastball,no,no_hit
0-0,change,no,no_hit
0-0,curve,yes,no_hit
0-0,fastball,no,no_hit
0-0,fastball,no,no_hit
0-0,fastball,no,no_hit
0-0,curve,no,no_hit
0-0,fastball,no,no_hit
0-0,curve,no,no_hit
0-0,curve,no,no_hit
0-0,four-seam,yes,hit
0-0,fastball,no,no_hit
0-0,fastball,yes,no_hit
0-0,fastball,no,no_hit
0-0,splitter,no,no_hit
0-0,fastball,no,no_hit
0-0,splitter,no,no_hit
0-0,change,no,no_hit
0-0,fastball,yes,no_hit
0-0,curve,no,no_hit
0-0,curve,yes,no_hit
0-0,fastball,no,no_hit
0-0,fastball,yes,hit
0-0,fastball,no,no_hit
0-0,fastball,yes,no_hit
0-0,fastball,no,no_hit
0-0,fastball,no,no_hit
0-0,fastball,no,no_hit
0-0,change,yes,no_hit
0-0,splitter,no,no_hit
0-0,fastball,yes,no_hit
0-0,four-seam,no,no_hit
0-0,four-seam,yes,no_hit
0-0,fastball,no,no_hit
0-0,fastball,yes,no_hit
0-0,change,no,no_hit
0-0,curve,no,no_hit
0-0,curve,no,no_hit
0-0,fastball,yes,no_hit
0-0,fastball,no,no_hit
0-0,fastball,yes,no_hit
0-0,four-seam,no,no_hit
0-0,fastball,no,no_hit
0-0,fastball,no,no_hit
0-0,four-seam,no,no_hit
0-0,change,no,no_hit
0-0,fastball,yes,no_hit
0-0,splitter,no,no_hit
0-0,curve,yes,no_hit
0-0,change,no,no_hit
0-0,change,yes,no_hit
0-0,curve,no,no_hit
0-0,four-seam,no,no_hit
0-0,fastball,no,no_hit
0-0,change,no,no_hit
0-0,curve,yes,no_hit
0-0,curve,no,no_hit
0-0,fastball,no,no_hit
0-0,fastball,no,no_hit
0-0,four-seam,no,no_hit
0-0,fastball,no,no_hit
0-0,fastball,no,no_hit
0-0,fastball,no,no_hit
0-0,change,yes,no_hit
0-0,fastball,no,no_hit
0-0,four-seam,no,no_hit
0-0,four-seam,no,no_hit
0-0,splitter,yes,no_hit
0-0,fastball,no,no_hit
0-0,curve,yes,no_hit
